TimeGenerated,DeviceName,Username,IpAddress,ActionType,RawData
"Sep 1, 2026 4:28:08 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:28:08.649900Z    70 Connect root@64.89.163.166 on sakila using TCP/IP
"Sep 1, 2026 4:28:05 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:28:05.719437Z    66 Connect root@64.89.163.166 on sakila using TCP/IP
"Sep 1, 2026 4:28:04 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:28:04.339931Z    65 Connect root@64.89.163.166 on sakila using TCP/IP
"Sep 1, 2026 4:28:00 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:28:00.091418Z    61 Connect root@64.89.163.166 on sakila using TCP/IP
"Sep 1, 2026 4:27:59 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:59.130349Z    60 Connect root@64.89.163.166 on sakila using TCP/IP
"Sep 1, 2026 4:27:58 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:57.975744Z    59 Connect root@64.89.163.166 on sakila using TCP/IP
"Sep 1, 2026 4:27:57 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:57.211035Z    58 Connect root@64.89.163.166 on sakila using TCP/IP
"Sep 1, 2026 4:27:53 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:53.451233Z    54 Connect root@64.89.163.166 on sakila using TCP/IP
"Sep 1, 2026 4:27:52 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:51.956228Z    52 Connect root@64.89.163.166 on sakila using TCP/IP
"Sep 1, 2026 4:27:52 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:52.726550Z    53 Connect root@64.89.163.166 on sakila using TCP/IP
"Sep 1, 2026 4:27:51 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:51.265178Z    51 Connect root@64.89.163.166 on sakila using TCP/IP
"Sep 1, 2026 4:27:49 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:48.943244Z    49 Connect root@64.89.163.166 on sakila using TCP/IP
"Sep 1, 2026 4:27:47 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:46.933231Z    46 Connect root@64.89.163.166 on recover_your_data using TCP/IP
"Sep 1, 2026 4:27:47 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:47.514850Z    47 Connect root@64.89.163.166 on  using TCP/IP
"Sep 1, 2026 4:27:45 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:45.049828Z    42 Connect root@64.89.163.166 on  using TCP/IP
"Sep 1, 2026 4:27:43 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:43.319877Z    40 Connect root@64.89.163.166 on cr_corp_01 using TCP/IP
"Sep 1, 2026 4:27:42 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:42.357293Z    39 Connect root@64.89.163.166 on cr_corp_01 using TCP/IP
"Sep 1, 2026 4:27:39 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:39.828173Z    35 Connect root@64.89.163.166 on  using TCP/IP
"Sep 1, 2026 4:27:38 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:38.576768Z    34 Connect root@64.89.163.166 on  using TCP/IP
"Sep 1, 2026 4:27:37 PM",datafiles-corp-s01,root,64.89.163.166,LogonFailure,2026-09-01T20:27:37.449734Z    31 Connect Access denied for user 'root'@'64.89.163.166' (using password: NO)
"Sep 1, 2026 4:27:32 PM",datafiles-corp-s01,root,64.89.163.166,LogonSuccess,2026-09-01T20:27:32.085069Z    30 Connect root@64.89.163.166 on  using TCP/IP
"Sep 1, 2026 4:27:31 PM",datafiles-corp-s01,root,64.89.163.166,LogonFailure,2026-09-01T20:27:31.608739Z    29 Connect Access denied for user 'root'@'64.89.163.166' (using password: NO)
"Sep 1, 2026 1:00:44 PM",datafiles-corp-s01,root,34.76.237.68,LogonFailure,2026-09-01T17:00:44.199003Z    25 Connect Access denied for user 'root'@'34.76.237.68' (using password: NO)
"Sep 1, 2026 11:53:53 AM",datafiles-corp-s01,root,localhost,LogonSuccess,2026-09-01T15:53:53.834337Z    20 Connect root@localhost on  using SSL/TLS
